TickerNews,Tick,Count
Vocera upgraded to Outperform from Neutral at Baird,VCRA,2
Roche upgraded to Buy from Neutral at Citi,RHHBY,2
nVent Electric upgraded to Outperform from Sector Perform at RBC Capital,NVT,2
nVent Electric upgraded to Outperform from Sector Perform at RBC Capital,NVT,2
Mellanox upgraded to Positive from Neutral at Susquehanna,MLNX,2
MasterCraft Boat upgraded to Outperform from Market Perform at Raymond James,MCFT,2
MasterCraft upgraded to Outperform from Market Perform at Raymond James,MCFT,2
Malibu Boats upgraded to Outperform from Market Perform at Raymond James,MBUU,2
Malibu Boats upgraded to Outperform from Market Perform at Raymond James,MBUU,2
MarineMax upgraded to Outperform from Market Perform at Raymond James,HZO,2
MarineMax upgraded to Outperform from Market Perform at Raymond James,HZO,2
Duke Energy upgraded to Outperform from Neutral at Credit Suisse,DUK,2
Brunswick upgraded to Outperform from Market Perform at Raymond James,BC,2
Arconic upgraded to Buy from Hold at Argus,ARNC,2
Arconic upgraded to Buy from Hold at Argus,ARNC,2
Amarin upgraded to Buy from Neutral at Citi,AMRN,2
WWE upgraded to Overweight from Equal Weight at Consumer Edge,WWE,1
Western Areas upgraded to Overweight from Neutral at JPMorgan,WNARF,1
Severn Trent upgraded to Neutral from Underweight at JPMorgan,STRNY,1
NMI Holdings upgraded to Buy from Neutral at Compass Point,NMIH,1
Knowles upgraded to Overweight from Neutral at Piper Sandler,KN,1
IGO Limited upgraded to Neutral from Underweight at JPMorgan,IPGDF,1
Eaton upgraded to Buy from Neutral at UBS,ETN,1
Carrefour upgraded to Buy from Neutral at Goldman Sachs,CRRFY,1
