TickerNews,Tick,Count
"Apple's iPhone SE 2 on track to launch in March amid coronavirus, Bloomberg says",AAPL,16
"Apple Q2 revenues could be less than $60B, says Bernstein",AAPL,16
"Apple weakness a buying opportunity, says Baird",AAPL,16
"Qorvo should be bought on any weakness, says Wells Fargo",AAPL,16
Full-year Apple estimates largely unchanged at Morgan Stanley after warning,AAPL,16
"Apple estimates updated for virus impact, target lowered  at Canaccord",AAPL,16
Apple estimates lowered after updated guidance at Wells Fargo,AAPL,16
"Apple warning could weigh on Qorvo, Skyworks and Qualcomm, says Morgan Stanley",AAPL,16
"Apple news highlights risk of being too China exposed, says Barclays",AAPL,16
"Magnitude of COVID-19 impact on Apple's iPhone worse than feared, says Wedbush",AAPL,16
"U.S. Semi companies will need to lower Q1/Q2 guidance, says Credit Suisse",AAPL,16
"Apple investors to look past 'temporary headwinds,' says JPMorgan",AAPL,16
"Citi not downgrading Apple, notes demand outside China still strong",AAPL,16
"Shipments of upcoming iPad Pro may not peak until after April, DigiTimes says",AAPL,16
Deutsche Bank surprised by timing of Apple revenue shortfall announcement,AAPL,16
"Apple should be bought on weakness from sales warning, says Piper Sandler",AAPL,16
Walmart CFO says company is 'rock solid' financially,WMT,14
"Walmart sees EPS growth in low single digits in Q1, Q3",WMT,14
Walmart CFO sees global ecommerce sales approaching $50B this year,WMT,14
Walmart CFO says saw 'significant disruptions' in 75% of Chile stores,WMT,14
Walmart CEO says layaway 'missed sales plans by quite a bit' in Q4,WMT,14
Walmart CEO says February sales started off well,WMT,14
Walmart CEO says managing issues related to coronavirus 'daily',WMT,14
"Walmart says sales in January, November 'what we expected'",WMT,14
Walmart raises annual dividend to $2.16 per share,WMT,14
Walmart raises annual dividend to $2.16 per share,WMT,14
"Walmart sees FY21 EPS $5.00-$5.15, consensus $5.22",WMT,14
Walmart to host investor meeting,WMT,14
Walmart reports Q4 U.S. comp sales up 6% on two-year stacked basis,WMT,14
"Walmart reports Q4 adjusted EPS $1.38, consensus $1.43",WMT,14
Medtronic sees coronavirus negatively impacting Q4 results,MDT,8
Medtronic says Q4 outlook unchanged,MDT,8
"Medtronic sees Q4 organic revenue growth approximately 4.5%, consensus $8.5B",MDT,8
Medtronic CEO says 'we continue to feel very good about the fourth quarter',MDT,8
"Medtronic sees Q4 adjusted EPS $1.62-$1.64, consensus 1.64",MDT,8
Medtronic raises FY20 adjusted EPS view to $5.63-$5.65 from $5.57-$5.63,MDT,8
Medtronic raises FY20 guidance,MDT,8
"Medtronic reports Q3 adjusted EPS $1.44, consensus $1.38",MDT,8
"HSBC to cut 35,000 jobs amid restructuring, WSJ reports",HSBC,8
HSBC sees RoTE of 10%-12% in FY22,HSBC,8
